,quote,author
5956,"To call woman the weaker sex is a libel; it is man's injustice to woman. If by strength is meant brute strength, then, indeed, is woman less brute than man. If by strength is meant moral power, then woman is immeasurably man's superior. Has she not greater intuition, is she not more self-sacrificing, has she not greater powers of endurance, has she not greater courage? Without her, man could not be. If nonviolence is the law of our being, the future is with woman. Who can make a more effective appeal to the heart than woman?"", Oct. 4, 1930)]",Mahatma Gandhi
6018,"Without leaps of imagination or dreaming, we lose the excitement of possibilities. Dreaming, after all is a form of planning.",Gloria Steinem
6088,I offer you peace. I offer you love. I offer you friendship. I see your beauty. I hear your need. I feel your feelings.,Mahatma Gandhi
6155,There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,Nelson Mandela
6355,People have only as much liberty as they have the intelligence to want and the courage to take.,Emma Goldman
6394,"I came to the conclusion long ago that all religions were true and that also that all had some error in them, and while I hold by my own religion, I should hold other religions as dear as Hinduism. So we can only pray, if we were Hindus, not that a Christian should become a Hindu; but our innermost prayer should be that a Hindu should become a better Hindu, a Muslim a better Muslim, and a Christian a better Christian.",Mahatma Gandhi
6430,I am the captain of my soul.,Nelson Mandela
6574,"Prayer is not an old woman's idle amusement. Properly understood and applied, it is the most potent instrument of action.",Mahatma Gandhi
6644,"Go on, get out! Last words are for fools who haven't said enough!",Karl Marx
6722,A winner is a dreamer who never gives up,Nelson Mandela
6849,"There is force in the universe, which, if we permit it, will flow through us and produce miraculous results.",Mahatma Gandhi
7177,True beauty lies in purity of the heart.,Mahatma Gandhi
7194,"Sometimes it falls upon a generation to be great, you can be that generation",Nelson Mandela
7244,I AM THE MASTER OF MY FATE AND THE CAPTAIN OF MY DESTINY.,Nelson Mandela
7324,"If I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.",Mahatma Gandhi
7366,It is in the knowledge of the genuine conditions of our lives that we must draw our strength to live and our reasons for living.,Simone de Beauvoir
7431,"If freedom is short of weapons, we must compensate with willpower.",Adolf Hitler
7566,"Champions are made from something they have deep inside of them-a desire, a dream, a vison.",Mahatma Gandhi
7591,Rich People plan for three generationsPoor people plan for Saturday night,Gloria Steinem
7655,"Live life as though nobody is watching, and express yourself as though everyone is listening.",Nelson Mandela
7667,"True love is boundless like the ocean and, swelling within one, spreads itself out and, crossing all boundaries and frontiers, envelops the whole world.",Mahatma Gandhi
10485,"If you win, you need not have to explain...If you lose, you should not be there to explain!",Adolf Hitler
10539,"You show me a capitalist, and I'll show you a bloodsucker",Malcolm X
10569,Freedom in capitalist society always remains about the same as it was in ancient Greek republics: Freedom for slave owners.,Vladimir Lenin
10633,"The only way we'll get freedom for ourselves is to identify ourselves with every oppressed people in the world. We are blood brothers to the people of Brazil, Venezuela, Haiti, Cuba -- yes Cuba too.",Malcolm X
10755,"Despair is typical of those who do not understand the causes of evil, see no way out, and are incapable of struggle.",Vladimir Lenin
11021,"I have learnt through bitter experience the one supreme lesson to conserve my anger, and as heat conserved is transmuted into energy, even so our anger controlled can be transmuted into a power which can move the world.",Mahatma Gandhi
11076,"Unity is a great thing and a great slogan. But what the workers’ cause needs is the unity of Marxists, not unity between Marxists, and opponents and distorters of Marxism.",Vladimir Lenin
11248,Violence begins with the fork.,Mahatma Gandhi
13234,"I'm for truth, no matter who tells it. I'm for justice, no matter who it is for or against. I'm a human being, first and foremost, and as such I'm for whoever and whatever benefits humanity as a whole.",Malcolm X
13246,Truth never damages a cause that is just.,Mahatma Gandhi
13334,Truth is on the side of the oppressed.,Malcolm X
13356,I believe in the fundamental truth of all great religions of the world.,Mahatma Gandhi
13705,"Truth resides in every human heart,and one has to search for it there,and to be guided by truth as one sees it.But no one has a right to coerce othersto act according to his own view of truth.",Mahatma Gandhi
13737,"Non-violence, which is the quality of the heart, cannot come by an appeal to the brain.",Mahatma Gandhi
14082,"In fact, it is more correct to say that Truth is God, than to say that God is Truth.",Mahatma Gandhi
14142,"Time is on the side of the oppressed today, it's against the oppressor. Truth is on the side of the oppressed today, it's against the oppressor. You don't need anything else.",Malcolm X
14209,"An error does not become truth by reason of multiplied propagation, nor does the truth become error because nobody will see it. 1924-1926)",Mahatma Gandhi
14269,There's no God higher than truth.,Mahatma Gandhi
14416,"Truth should be the very breath of our life. When once this state in the pilgrim's progress is reached, all other rules of correct living will come without any effort, and obedience to them will be instinctive.",Mahatma Gandhi
15790,God has no religion.,Mahatma Gandhi
15800,"Let the first act of every morning be to make the following resolve for the day:- I shall not fear anyone on Earth. - I shall fear only God. - I shall not bear ill will toward anyone. - I shall not submit to injustice from anyone. - I shall conquer untruth by truth. And in resisting untruth, I shall put up with all suffering.",Mahatma Gandhi
15811,"There are people in the world so hungry, that God cannot appear to them except in the form of bread.",Mahatma Gandhi
18451,It is unwise to be too sure of one's own wisdom. It is healthy to be reminded that the strongest might weaken and the wisest might err.,Mahatma Gandhi
20755,My Life is My Message,Mahatma Gandhi
20815,"I am not an optimist, but a great believer of hope.",Nelson Mandela
23170,"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi
28288,"May your choices reflect your hopes, not your fears.",Nelson Mandela
29062,Even a single lamp dispels the deepest darkness.,Mahatma Gandhi
30492,"Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.",Mahatma Gandhi
30528,Men should think twice before making widowhood women's only path to power.,Gloria Steinem
37647,"You must not lose faith in humanity. Humanity is like an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.",Mahatma Gandhi
37688,"Faith is not something to grasp, it is a state to grow into.",Mahatma Gandhi
37816,"To believe that what has not occurred in history will not occur at all, is to argue disbelief in the dignity of man.",Mahatma Gandhi
38143,"Intellect takes us along in the battle of life to a certain limit, but at the crucial moment it fails us. Faith transcends reason. It is when the horizon is the darkest and human reason is beaten down to the ground that faith shines brightest and comes to our rescue.",Mahatma Gandhi
39648,"Writing is the only thing that when I do it, I don't feel I should be doing something else.",Gloria Steinem
40009,‎A day in which I don't write leaves a taste of ashes.,Simone de Beauvoir
41969,To give pleasure to a single heart by a single act is better than a thousand heads bowing in prayer.,Mahatma Gandhi
42290,The greatness of a nation and its moral progress can be judged by the way its animals are treated. I hold that the more helpless a creature the more entitled it is to protection by man from the cruelty of humankind.,Mahatma Gandhi
42307,All humanity is one undivided and indivisible family. I cannot detach myself from the wickedest soul.,Mahatma Gandhi
43717,It is easy enough to be friendly to one's friends. But to befriend the one who regards himself as your enemy is the quintessence of true religion. The other is mere business.,Mahatma Gandhi
43765,I call him religious who understands the suffering of others.,Mahatma Gandhi
43780,"Yes I am, I am also a Muslim, a Christian, a Buddhist, and a Jew.",Mahatma Gandhi
44041,"Do not worry in the least about yourself, leave all worry to God,' - this appears to be the commandment in all religions. This need not frighten anyone. He who devotes himself to service with a clear conscience, will day by day grasp the necessity for it in greater measure, and will continually grow richer in faith. The path of service can hardly be trodden by one who is not prepared to renounce self-interest, and to recognize the conditions of his birth. Consciously or unconsciously, every one of us does render some service or other. If we cultivate the habit of doing this service deliberately, our desire for service will steadily grow stronger, and will make not only for our own happiness but that of the world at large.",Mahatma Gandhi
44070,A religion that takes no account of practical affairs and does not help to solve them is no religion.,Mahatma Gandhi
44411,"If I were a dictator, religion and state would be separate. I swear by my religion. I will die for it. But it is my personal affair. The state has nothing to do with it. The state would look after your secular welfare, health, communications, foreign relations, currency and so on, but not your or my religion. That is everybody's personal concern!",Mahatma Gandhi
44464,Those who say religion has nothing to do with politics do not know what religion is.,Mahatma Gandhi
45206,"Criticism has plucked the imaginary flowers on the chain not in order that man shall continue to bear that chain without fantasy or consolation, but so that he shall throw off the chain and pluck the living flower.",Karl Marx
45470,Don't be in a hurry to condemn because he doesn't do what you do or think as you think or as fast. There was a time when you didn't know what you know today.,Malcolm X
49202,Education is the most powerful weapon which you can use to change the world.,Nelson Mandela
49220,"A good head and good heart are always a formidable combination. But when you add to that a literate tongue or pen, then you have something very special.",Nelson Mandela
49225,"Education is our passport to the future, for tomorrow belongs to the people who prepare for it today.",Malcolm X
49259,There is no school equal to a decent home and no teacher equal to a virtuous parent.,Mahatma Gandhi
49435,"The education of all children, from the moment that they can get along without a mother's care, shall be in state institutions.",Karl Marx
49552,I am a machine condemned to devour books.,Karl Marx
49566,"An English writer telephoned me from London, asking questions. One was, ‘What’s your alma mater?’ I told him, ‘Books.",Malcolm X
50081,"Always choose the most difficult way, there you will not meet competitors.",Charles de Gaulle
62273,"First they ignore you, then they laugh at you, then they fight you, then you win.",Mahatma Gandhi
63040,"My alma mater was books, a good library.... I could spend the rest of my life reading, just satisfying my curiosity.",Malcolm X
66608,"I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela
71788,"He loved her with the fire of a thousand suns, she was his solace in the chaos, his redemption.",Vladimir Lenin
76130,"What difference does it make to the dead, the orphans and the homeless, whether the mad destruction is wrought under the name of totalitarianism or in the holy name of liberty or democracy?",Mahatma Gandhi
76141,Sometimes you have to pick the gun up to put the Gun down.,Malcolm X
76320,"Politics is war without blood, while war is politics with blood.",Mao Zedong
76515,"Among the many misdeeds of British rule in India, history will look upon the Act which deprived a whole nation of arms as the blackest.",Mahatma Gandhi
77070,History is a symptom of our disease,Mao Zedong
78294,When we can't dream any longer we die.,Emma Goldman
78870,"Without leaps of the imagination, or dreaming, we lose the excitement of possibilities. Dreaming, after all, is a form of planning",Gloria Steinem
79916,Freedom is not worth having if it does not include the freedom to make mistakes.,Mahatma Gandhi
79917,"When a man is denied the right to live the life he believes in, he has no choice but to become an outlaw.",Nelson Mandela
79940,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",Nelson Mandela
79951,We cannot think of being acceptable to others until we have first proven acceptable to ourselves.,Malcolm X
79995,"I believe that there will be ultimately be a clash between the oppressed and those who do the oppressing. I believe that there will be a clash between those who want freedom, justice and equality for everyone and those who want to continue the system of exploitation. I believe that there will be that kind of clash, but I don't think it will be based on the color of the skin...",Malcolm X
80019,"Without Revolutionary theory, there can be no Revolutionary Movement.",Vladimir Lenin
80428,"‎Civilization has been a continuous struggle of the individual or of groups of individuals against the State and even against ""society,"" that is, against the majority subdued and hypnotized by the State and State worship.",Emma Goldman
80898,Most women are one man away from welfare.,Gloria Steinem
83652,The oppressed are allowed once every few years to decide which particular representatives of the oppressing class are to represent and repress them.,Karl Marx
83675,How can you govern a country which has 246 varieties of cheese?,Charles de Gaulle
83775,I have come to the conclusion that politics are too serious a matter to be left to the politicians.,Charles de Gaulle
84096,"If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner. -Nelson Mandela, activist, South African president, Nobel Peace Prize (b. 1918)",Nelson Mandela
84740,No revolution is made out of shame. I reply: Shame is already revolution of a kind,Karl Marx
85207,"But I was brought up on convent morals and paternal nationalism, I was getting bogged down in contradictions.",Simone de Beauvoir
85273,The feminine section of the proletarian army is of particularly great significance... the success of a revolution depends on the extent to which women take part in it.,Vladimir Lenin
86604,A feminist is anyone who recognizes the equality and full humanity of women and men.,Gloria Steinem
86627,"To call woman the weaker sex is a libel; it is man's injustice to woman. If by strength is meant brute strength, then, indeed, is woman less brute than man. If by strength is meant moral power, then woman is immeasurably man's superior. Has she not greater intuition, is she not more self-sacrificing, has she not greater powers of endurance, has she not greater courage? Without her, man could not be. If nonviolence is the law of our being, the future is with woman. Who can make a more effective appeal to the heart than w",Mahatma Gandhi
86653,Women may be the one group that grows more radical with age.,Gloria Steinem
86659,Any woman who chooses to behave like a full human being should be warned that the armies of the status quo will treat her as something of a dirty joke . . . She will need her sisterhood.,Gloria Steinem
86824,"Of all the evils for which man has made himself responsible, none is so degrading, so shocking or so brutal as his abuse of the better half of humanity; the female sex.",Mahatma Gandhi
86989,We'll never solve the feminization of power until we solve the masculinity of wealth.,Gloria Steinem
87038,Why one man rather than another? It was odd. You find yourself involved with a fellow for life just because he was the one that you met when you were nineteen.,Simone de Beauvoir
87106,"In short, we would discover, as we should already, that logic is in the eye of the logician. (For instance, here's an idea for theorists and logicians: if women are supposed to be less rational and more emotional at the beginning of our menstrual cycle when the female hormone is at its lowest level, then why isn't it logical to say that, in those few days, women behave the most like the way men behave all month long? I leave further improvisation up to you.)",Gloria Steinem
88179,"I did not believe that a Cause which stood for a beautiful ideal, for anarchism, for release and freedom from convention and prejudice, should demand the denial of life and joy. I insisted that our Cause could not expect me to become a nun and that the movement would not be turned into a cloister. If it meant that, I did not want it. ""I want freedom, the right to self-expression, everybody's right to beautiful, radiant things."" Anarchism meant that to me, and I would live it in spite of the whole world — prisons, persecution, everything. Yes, even in spite of the condemnation of my own closest comrades I would live my beautiful ideal.",Emma Goldman
88336,Everyone who knows anything of history also knows that great social revolutions are impossible without the feminine ferment. Social progress may be measured precisely by the social position of the fair sex (plain ones included).,Karl Marx
90075,To lose confidence in one’s body is to lose confidence in oneself.,Simone de Beauvoir
91880,"I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ.",Mahatma Gandhi
92136,"You Christians look after a document containing enough dynamite to blow all civilisation to pieces, turn the world upside down and bring peace to a battle-torn planet. But you treat it as though it is nothing more than a piece of literature.",Mahatma Gandhi
97410,"The art of life is not controlling what happens to us, but using what happens to us",Gloria Steinem
98793,"I’ve done everything I wanted to do, writing books, learning about things, but I’ve been swindled all the same because it’s never anything more.",Simone de Beauvoir
99093,"I have often reflected upon the new vistas that reading has opened to me. I knew right there in prison that reading had changed forever the course of my life. As I see it today, the ability to read awoke inside me some long dormant craving to be mentally alive.",Malcolm X
104010,Sometimes - history needs a push.,Vladimir Lenin
104119,"History is a people's memory, and without a memory, a man is demoted to the lower animals.",Malcolm X
104164,It is well known how the monks wrote silly lives of Catholic Saints over the manuscripts on which the classical works of ancient heathendom had been written.,Karl Marx
104239,"Men make their own history, but they do not make it as they please.",Karl Marx
104364,France has lost a battle. But France has not lost the war,Charles de Gaulle
104627,"Men [sic] make their own history, but they do not make it as they please; they do not make it under self-selected circumstances, but under circumstances existing already, given and transmitted from the past.(Marx, 1963)",Karl Marx
105319,"History is not like some individual person, which uses men to achieve its ends. History is nothing but the actions of men in pursuit of their ends.",Karl Marx
105479,"It's possible to satisfy the needs of the inner life by an intimate communion with nature, or by knowledge of the past.",Adolf Hitler
105521,"When Pope Pius XII died, LIFE magazine carried a picture of him in his private study kneeling before a black Christ. What was the source of their information? All white people who have studied history and geography know that Christ was a black man. Only the poor, brainwashed American Negro has been made to believe that Christ was white, to maneuver him into worshiping the white man. After becoming a Muslim in prison, I read almost everything I could put my hands on in the prison library. I began to think back on everything I had read and especially with the histories, I realized that nearly all of them read by the general public have been made into white histories. I found out that the history-whitening process either had left out great things that black men had done, or some of the great black men had gotten whitened.",Malcolm X
105621,"To my mind, the life of a lamb is no less precious than that of a human being.",Mahatma Gandhi
105656,"The greatness of humanity is not in being human, but in being humane.",Mahatma Gandhi
105710,"The only difference between man and man all the world over is one of degree, and not of kind, even as there is between trees of the same species.Where in is the cause for anger, envy or discrimination?",Mahatma Gandhi
106081,To deny people of their human rights is to challenge their very humanity.,Nelson Mandela
106518,"If a single man achieves the highest kind of love, it will be sufficient to neutralize the hate of millions.",Mahatma Gandhi
107010,"Capital is dead labour, which, vampire-like, lives only by sucking living labour, and lives the more, the more labour it sucks.",Karl Marx
107579,I'd rather have roses on my table than diamonds on my neck.,Emma Goldman
107661,"As in everything, nature is the best instructor.",Adolf Hitler
108098,"When people attempt to rebel against the iron logic of Nature, they come into conflict with the very same principles to which they owe their existence as human beings. Their actions against Nature must lead to their own downfall.",Adolf Hitler
109126,An eye for an eye will only make the whole world blind.,Mahatma Gandhi
109127,Nobody can hurt me without my permission.,Mahatma Gandhi
109142,"There is no 'way to peace,' there is only 'peace.",Mahatma Gandhi
109212,You cannot shake hands with a clenched fist.,Mahatma Gandhi
109254,Peace between countries must rest on the solid foundation of love between individuals.,Mahatma Gandhi
109738,"Peace is not just the absence of conflict; peace is the creation of an environment where all can flourish regardless of race, color, creed, religion, gender, class, caste or any other social markers of difference.",Nelson Mandela
109965,"most Americans think of Rosa Parks as a demur, pleasant-enough seamstress who backed into history by being too tired to get out of her seat on a bus one day, in reality she had been trained in nonviolence spirit and tactics at a famous institution, Highlander Folk School. It seems to be a difficult concept for most of us that peace is a skill that can be learned. We know war can be learned, but we seem to think that one becomes a peacemaker by a mere change of heart. (23)",Mahatma Gandhi
110145,"If I preached unity, I must act like a unifier, even at the risk of perhaps alienating some of my own colleagues.",Nelson Mandela
110395,"But let’s not forget the Jew. Anybody that gives even a just criticism of the Jew is instantly labeled anti-Semite. The Jew cries louder than anybody else if anybody criticizes him. You can tell the truth about any minority in America, but make a true observation about the Jew, and if it doesn’t 't pat him on the back, then he uses his grip on the news media to label you anti-Semite.",Malcolm X
113767,I have yet to hear a man ask for advice on how to combine marriage and a career.,Gloria Steinem
113841,I first learned the concepts of non-violence in my marriage.,Mahatma Gandhi
113910,"To the moralist prostitution does not consist so much in the fact that the woman sells her body, but rather that she sells it out of wedlock.",Emma Goldman
116746,"If I can't dance to it, it's not my revolution.",Emma Goldman
128344,I will not let anyone walk through my mind with their dirty feet.,Mahatma Gandhi
130270,If someone puts their hands on you make sure they never put their hands on anybody else again.,Malcolm X
130287,Silence is the ultimate weapon of power.,Charles de Gaulle
130309,The very first essential for success is a perpetually constant and regular employment of violence.,Adolf Hitler
130320,The great strength of the totalitarian state is that it forces those who fear it to imitate it.,Adolf Hitler
131529,"Many people in this country who want to see us the minority, and who don’t want to see us taking too militant or too uncompromising a stand, are absolutely against the successful regrouping or organising of any faction in this country whose thought and whose thinking pattern is international rather than national… There’s a world wide revolution going on, it goes beyond Mississippi, it goes beyond Alabama, it goes beyond Harlem. What is it revolting against? The power structure. The American power structure? No. The French power structure? No. The English power structure? No. Then, what power structure? An international Western power structure.",Malcolm X
132934,"Being on the fringes of the world is not the best place for someone who intends to re-create it: here again, to go beyond the given, one must be deeply rooted in it. Personal accomplishments are almost impossible in human categories collectively kept in an inferior situation.",Simone de Beauvoir
133550,A winner is a dreamer who never gives up.,Nelson Mandela
135855,"Courage is not the absence of fear, but the triumph over it.",Nelson Mandela
146109,The law of love could be best understood and learned through little children.,Mahatma Gandhi
149794,"I am too intelligent, too demanding, and too resourceful for anyone to be able to take charge of me entirely. No one knows me or loves me completely. I have only myself",Simone de Beauvoir
149836,A woman reading Playboy feels a little like a Jew reading a Nazi manual.,Gloria Steinem
149868,"The point is not for women simply to take power out of men’s hands, since that wouldn’t change anything about the world. It’s a question precisely of destroying that notion of power.",Simone de Beauvoir
150669,I’m not advocating a competition for who has it toughest. The caste systems of sex and race are interdependent and can only be uprooted together. It’s time to take equal pride in breaking all the barriers.,Gloria Steinem
150762,"One of the saddest things I hear as I travel is ""I don't know enough to be a feminist."" Or even ""I'm not smart enough to be a feminist."" It breaks my heart.",Gloria Steinem
150775,"Inside, each of us has a purple motorcycle.",Gloria Steinem
150831,"Girls are weighed down by restrictions, boys with demands - two equally harmful disciplines.",Simone de Beauvoir
151479,Women need not always keep their mouths shut and their wombs open.,Emma Goldman
151752,(When asked what he thought of Western civilization): 'I think it would be a good idea.,Mahatma Gandhi
155084,"Man often becomes what he believes himself to be. If I keep on saying to myself that I cannot do a certain thing, it is possible that I may end by really becoming incapable of doing it. On the contrary, if I have the belief that I can do it, I shall surely acquire the capacity to do it even if I may not have it at the beginning.",Mahatma Gandhi
155089,Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi
155208,"Soyons fermes, purs et fidèles ; au bout de nos peines, il y a la plus grande gloire du monde, celle des hommes qui n'ont pas cédé. [Let us be firm, pure and faithful; at the end of our sorrow, there is the greatest glory of the world, that of the men who did not give in.]",Charles de Gaulle
156510,Dying seems less sad than having lived too little.,Gloria Steinem
157798,"As human beings, our greatness lies not so much in being able to remake the world - that is the myth of the atomic age - as in being able to remake ourselves.",Mahatma Gandhi
158977,"Love, the strongest and deepest element in all life, the harbinger of hope, of joy, of ecstasy; love, the defier of all laws, of all conventions; love, the freest, the most powerful moulder of human destiny; how can such an all-compelling force be synonymous with that poor little State and Church-begotten weed, marriage?",Emma Goldman
163143,The future depends on what you do today.,Mahatma Gandhi
163852,"The world since Adam has been white—and corrupt. The world of tomorrow will be black—and righteous. In the white world there has been nothing but slavery, suffering, death and colonialism. In the black world of tomorrow, there will be true freedom, justice and equality for all. And that day is coming—sooner than you think.",Malcolm X
164614,The future depends on what we do in the present.,Mahatma Gandhi
164800,"To believe in something, and not to live it, is dishonest.",Mahatma Gandhi
170820,"The inner voice is something which cannot be described in words. But sometimes we have a positive feeling that something in us prompts us to do a certain thing. The time when I learnt to recognise this voice was, I may say, the time when I started praying regularly.",Mahatma Gandhi
174459,Our attitude towards ourselves should be to be insatiable in learning and towards others to be tireless in teaching.,Mao Zedong
179631,"To emancipate woman is to refuse to confine her to the relations she bears to man, not to deny them to her; let her have her independent existence and she will continue nonetheless to exist for him also: mutually recognising each other as subject, each will yet remain for the other an other. The reciprocity of their relations will not do away with the miracles – desire, possession, love, dream, adventure – worked by the division of human beings into two separate categories; and the words that move us – giving, conquering, uniting – will not lose their meaning. On the contrary, when we abolish the slavery of half of humanity, together with the whole system of hypocrisy that it implies, then the 'division' of humanity will reveal its genuine significance and the human couple will find its true form.",Simone de Beauvoir
180982,"As I walked out the door toward the gate that would lead to my freedom, I knew if I didn't leave my bitterness and hatred behind, I'd still be in prison.",Nelson Mandela
181006,"Before we can forgive one another, we have to understand one another.",Emma Goldman
182088,"Courageous people do not fear forgiving, for the sake of peace.",Nelson Mandela
182363,You don't know who is important to you until you actually lose them.,Mahatma Gandhi
188011,"Without leaps of imagination or dreaming, we lose the excitement of possibilities.",Gloria Steinem
190052,"Nothing great will ever be achieved without great men, and men are great only if they are determined to be so.",Charles de Gaulle
190592,"Men’s economic privilege, their social value, the prestige of marriage, the usefulness of masculine support—all these encourage women to ardently want to please men. They are on the whole still in a state of serfdom. It follows that woman knows and chooses herself not as she exists for herself but as man defines her. She thus has to be described first as men dream of her since her being-for-men is one of the essential factors of her concrete condition.",Simone de Beauvoir
200515,"Stoning prophets and erecting churches to their memory afterwards has been the way of the world through the ages. Today we worship Christ, but the Christ in the flesh we crucified.",Mahatma Gandhi
201744,The simplest acts of kindness are by far more powerful then a thousand heads bowing in prayer.,Mahatma Gandhi
201748,"That's what I consider true generosity: You give your all, and yet you always feel as if it costs you nothing.",Simone de Beauvoir
202218,"What do you believe in ?""""People's sufferings, and the fact that it is abominable. One should do everything to abolish it. To tell you the truth, nothing else seems to me of any importance.",Simone de Beauvoir
202427,Ask the poor. They'll tell you who the christians are.,Mahatma Gandhi
204714,I can go on the road - and I can come home. I come home - because I'm free to leave. Each way of being is more valued int he presence of the other. This balance between making camp and following the seasons is both very ancient and very new. We all need both.,Gloria Steinem
204716,I like to believe that the road is sharpening my mind and lengthening my life with surprise.,Gloria Steinem
206584,"Seek not greater wealth, but simpler pleasure; not higher fortune, but deeper felicity.",Mahatma Gandhi
208505,"don't let what other people think, stop you from doing the things you love",Adolf Hitler
208681,My spirit will rise from the grave and the world will see i was right.,Adolf Hitler
209536,"Consciously or unconsciously, most theists see in gods and devils, heaven and hell, reward and punishment, a whip to lash the people into obedience, meekness and contentment.... The philosophy of atheism expresses the expansion and growth of the human mind. The philosophy of theism, if we can call it a philosophy, is static and fixed.",Emma Goldman
215976,"If I had no sense of humor, I would long ago have committed suicide.",Mahatma Gandhi
219532,There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.,Nelson Mandela
223541,"[representative government is] deciding once in three or six years which member of the ruling class was to misrepresent the people in Parliament,",Karl Marx
224907,Poverty is the worst form of violence.,Mahatma Gandhi
225239,"There is little to be said in favour of poverty, but it was often an incubator of true friendship. Many people will appear to befriend you when you are wealthy, but precious few will do the same when you are poor",Nelson Mandela
225389,"Overcoming poverty is not a gesture of charity. It is an act of justice. It is the protection of a fundamental human right, the right to dignity and a decent ",Nelson Mandela
235350,Three-fourths of the miseries and misunderstandings in the world will disappear if we step into the shoes of our adversaries and understand their standpoint.,Mahatma Gandhi
236763,"Whatever you do will be insignificant, but it is very important that you do it.",Mahatma Gandhi
236767,"It's the action, not the fruit of the action, that's important. You have to do the right thing. It may not be in your power, may not be in your time, that there'll be any fruit. But that doesn't mean you stop doing the right thing. You may never know what results come from your action. But if you do nothing, there will be no result.",Mahatma Gandhi
236771,Always aim at complete harmony of thought and word and deed. Always aim at purifying your thoughts and everything will be well.,Mahatma Gandhi
238767,"If you talk to a man in a language he understands, that goes to his head. If you talk to him in his language, that goes to his heart.",Nelson Mandela
240439,"Each night, when I go to sleep, I die. And the next morning, when I wake up, I am reborn.This means the when you go to sleep you close your eyes and you are and look like you are dead but then when you wake up it looks like you are reborn because you are up and ready.",Mahatma Gandhi
242094,I want the cultures of all lands to be blown about my house as freely as possible. But I refuse to be blown of my feet by any.,Mahatma Gandhi
242097,I want the cultures of all lands to be blown about my house as freely as possible. But I refuse to be blown of my feet by any,Mahatma Gandhi
242507,"Usually when people are sad, they don't do anything. They just cry over their condition. But when they get angry, they bring about a change.",Malcolm X
244088,"The better I get to know men, the more I find myself loving dogs.",Charles de Gaulle
244654,"I have more respect for a man who lets me know where he stands, even if he's wrong. Than the one who comes up like an angel and is nothing but a devil.",Malcolm X
246235,Fearlessness is the first requisite of spirituality. Cowards can never be moral.,Mahatma Gandhi
246311,"True morality consists not in following the beaten track, but in finding the true path for ourselves, and fearlessly following it.",Mahatma Gandhi
248026,One basis for life and another basis for science is a priori a lie.,Karl Marx
249604,Honest differences are often a healthy sign of progress.,Mahatma Gandhi
250544,Ignorance never yet helped anybody.,Karl Marx
251715,"If you tell a big enough lie and tell it frequently enough, it will be believed.",Adolf Hitler
257407,The best way to find yourself is to lose yourself in the service of others.,Mahatma Gandhi
257487,"To the same degree that your understanding of and attitude towards Afrika becomes more positive, your understanding of and attitude towards yourself will also becomes more positive...",Malcolm X
